DATE,CPI_all_items,Rent_of_Primary_residence,Monthly_Housing_Cost,CPI_Energy,US_Dollar_Purchasing_power
2012-10-01,231.638,283.142,223.227,239.742,43.2
2012-11-01,231.249,283.948,222.425,240.038,43.4
2012-12-01,231.221,284.564,221.838,240.359,43.6
2013-01-01,231.679,284.915,222.251,240.713,43.4
2013-02-01,232.937,285.510,224.681,240.930,43.1
2013-03-01,232.282,285.949,224.433,241.409,43.0
2013-04-01,231.797,286.696,224.522,242.236,43.0
2013-05-01,231.893,287.189,225.645,242.642,42.9
2013-06-01,232.445,287.623,225.864,243.016,42.8
2013-07-01,232.900,288.758,225.375,243.409,42.8
2013-08-01,233.456,289.443,225.525,243.811,42.8
2013-09-01,233.544,290.396,225.161,244.036,42.7
2013-10-01,233.669,290.843,224.422,244.350,42.8
2013-11-01,234.100,291.654,223.703,244.970,42.9
2013-12-01,234.719,292.702,222.960,245.300,42.9
2014-01-01,235.288,292.988,225.027,245.481,42.8
2014-02-01,235.547,292.801,226.217,246.187,42.6
2014-03-01,236.028,292.974,228.784,246.878,42.3
2014-04-01,236.468,292.959,229.848,247.534,42.2
2014-05-01,236.918,293.483,229.612,247.952,42.0
2014-06-01,237.231,294.042,230.477,248.445,42.0
2014-07-01,237.498,294.758,229.633,249.210,42.0
2014-08-01,237.460,296.159,229.753,249.801,42.0
2014-09-01,237.477,298.885,229.829,250.570,42.0
2014-10-01,237.430,300.655,228.987,251.100,42.1
2014-11-01,236.983,301.479,227.184,251.987,42.3
2014-12-01,236.252,301.381,226.262,252.628,42.6
2015-01-01,234.747,301.829,225.852,253.037,42.8
2015-02-01,235.342,302.719,225.763,253.719,42.6
2015-03-01,235.976,303.496,227.405,254.108,42.4
2015-04-01,236.222,303.791,227.704,254.727,42.3
2015-05-01,237.001,303.922,228.494,255.322,42.1
2015-06-01,237.657,305.505,228.837,255.846,41.9
2015-07-01,238.034,306.063,228.588,255.905,41.9
2015-08-01,238.033,306.620,229.527,256.449,42.0
2015-09-01,237.498,307.585,228.826,257.830,42.0
2015-10-01,237.733,308.449,228.600,258.363,42.0
2015-11-01,238.017,309.200,227.641,258.805,42.1
2015-12-01,237.761,309.939,226.271,259.097,42.3
2016-01-01,237.652,310.212,227.977,259.958,42.2
2016-02-01,237.336,310.874,227.438,260.319,42.2
2016-03-01,238.080,310.717,227.778,260.883,42.0
2016-04-01,238.992,311.114,229.197,261.517,41.8
2016-05-01,239.557,311.695,229.247,262.074,41.6
2016-06-01,240.222,312.688,230.341,262.529,41.5
2016-07-01,240.101,313.464,228.454,263.051,41.6
2016-08-01,240.545,314.221,228.956,263.649,41.5
2016-09-01,241.176,314.519,230.282,264.102,41.4
2016-10-01,241.741,315.028,230.506,264.459,41.4
2016-11-01,242.026,317.112,230.969,264.699,41.4
2016-12-01,242.637,317.296,230.476,265.104,41.4
2017-01-01,243.618,317.668,232.155,266.079,41.2
2017-02-01,244.006,318.021,232.491,266.626,41.1
2017-03-01,243.892,318.071,232.225,267.055,41.0
2017-04-01,244.193,319.569,233.066,267.652,40.9
2017-05-01,244.004,320.162,233.443,268.128,40.9
2017-06-01,244.163,320.744,233.407,268.225,40.8
2017-07-01,244.243,321.965,233.514,268.649,40.9
2017-08-01,245.183,322.751,234.200,269.522,40.7
2017-09-01,246.435,324.447,235.177,270.353,40.5
2017-10-01,246.626,325.122,234.159,270.658,40.5
2017-11-01,247.284,326.010,235.206,271.152,40.5
2017-12-01,247.805,327.048,234.293,271.811,40.6
2018-01-01,248.859,327.885,236.267,272.772,40.3
2018-02-01,249.529,328.097,236.306,273.435,40.2
2018-03-01,249.577,328.539,236.388,273.733,40.1
2018-04-01,250.227,329.294,237.940,274.393,39.9
2018-05-01,250.792,329.299,238.910,275.307,39.7
2018-06-01,251.018,329.996,238.540,275.808,39.7
2018-07-01,251.214,330.920,237.870,276.125,39.7
2018-08-01,251.663,331.771,238.098,276.648,39.7
2018-09-01,252.182,332.746,238.957,277.258,39.6
2018-10-01,252.772,333.905,238.892,277.513,39.5
2018-11-01,252.594,335.604,237.511,278.306,39.7
2018-12-01,252.767,336.495,236.796,279.419,39.8
2019-01-01,252.718,337.168,238.218,280.380,39.7
2019-02-01,253.322,337.025,239.669,281.373,39.6
2019-03-01,254.202,338.592,240.019,281.887,39.3
2019-04-01,255.211,339.272,239.726,282.798,39.1
2019-05-01,255.290,341.088,241.758,283.394,39.0
2019-06-01,255.159,341.818,240.835,284.316,39.0
2019-07-01,255.685,341.101,241.589,284.891,39.0
2019-08-01,256.059,341.859,241.985,285.507,39.0
2019-09-01,256.511,342.622,242.393,286.246,38.9
2019-10-01,257.244,342.926,243.236,286.791,38.9
2019-11-01,257.803,343.813,242.661,287.255,38.9
2019-12-01,258.616,345.458,242.079,288.078,38.9
2020-01-01,259.037,346.449,244.361,289.137,38.8
2020-02-01,259.248,347.141,244.407,289.781,38.7
2020-03-01,258.124,347.474,242.655,290.216,38.7
2020-04-01,256.092,347.314,240.364,290.639,39.0
2020-05-01,255.868,348.344,242.650,291.709,39.0
2020-06-01,256.986,349.214,243.475,293.219,38.8
2020-07-01,258.278,350.090,244.046,294.599,38.6
2020-08-01,259.411,350.673,244.341,295.437,38.5
2020-09-01,260.029,351.302,245.745,297.080,38.4
2020-10-01,260.286,352.532,245.584,297.893,38.4
2020-11-01,260.813,353.426,244.610,298.253,38.4
2020-12-01,262.035,354.001,244.235,299.369,38.4
